   371016 7369  53,15573 -27,76150 2,9793   0,0089 2  176,25   0,00 -16,042 0,000 41,61  0,60    0,00    0,00000000e+00 212,47    80,55  0,07  0,15   1,00   0,00 1,00 0,00
   391032    0  53,16358 -27,81462 2,9862   0,0007 1   32,04   8,69 -17,900 0,186 41,61  0,48  447,68    4,23500000e+01 144,65   169,04  0,16  0,17  11,55   1,83 0,33 0,05
   401033 4503  53,14724 -27,77228 2,9828   0,1025 2   19,33   8,70 -17,831 0,159 41,36  0,98    0,00    0,00000000e+00 219,26   140,27  0,04  0,19   2,52   0,90 1,00 0,00
   411034 1301  53,16113 -27,80608 2,9910   0,0019 3   14,06   2,09 -19,805 0,030 42,01  0,34  298,39    2,57800000e+02 257,48   746,44 -0,07  0,57   2,55   0,19 0,33 0,03
   421036    0  53,17824 -27,79558 2,9934   0,0007 3  452,10   0,00 -16,250 0,000 42,10  0,23  690,59    3,31200000e+01 246,29    78,36  0,15  0,08   1,00   0,00 1,00 0,00
   431037 7163  53,17659 -27,76860 2,9919   0,0006 3    5,95   3,68 -18,178 0,192 40,99  1,36  340,22    2,90700000e+01 340,60    51,28  0,18  0,04   3,73   0,38 0,15 0,09
   441038    0  53,16327 -27,81378 2,9881   0,0598 2  274,88   0,00 -16,882 0,000 42,13  0,31    0,00    0,00000000e+00 331,34   117,55  0,12  0,28   1,00   0,00 1,00 0,00
   461040 7159  53,16792 -27,81231 2,9940   0,0030 3  298,30  88,47 -17,419 0,314 42,38  0,13    0,00    0,00000000e+00 190,05    18,01  0,00  0,05   0,98   0,32 1,00 0,00
   491043 6426  53,17930 -27,78970 2,9912   0,0035 2  193,54   0,00 -16,189 0,000 41,70  0,43    0,00    0,00000000e+00 245,61   106,47  0,27  0,08   1,37   0,85 1,00 0,00
   501044 2495  53,18441 -27,78437 2,9941   0,0006 3   91,73  14,28 -18,549 0,144 42,32  0,19  427,74    3,62600000e+01 221,38    21,59  0,12  0,02  12,57  10,17 0,34 0,09
   511045 1541  53,17462 -27,80156 2,9934   0,0047 3   13,33   2,49 -19,139 0,061 41,72  0,41    0,00    0,00000000e+00 362,66    50,03  0,19  0,04   4,00   0,37 0,33 0,04
   541048 7165  53,17437 -27,80761 2,9946   0,0037 2   53,76  14,88 -17,880 0,207 41,82  0,46    0,00    0,00000000e+00 267,33    87,78  0,26  0,06   5,29   0,89 0,28 0,08
   551049 2370  53,15046 -27,76523 2,9945   0,0045 3   21,87   3,50 -19,010 0,063 41,89  0,34    0,00    0,00000000e+00 301,58    54,49  0,14  0,05  12,76  17,42 0,49 0,11
   571059 6388  53,17157 -27,76606 2,9995   0,0009 2   34,72   0,00 -16,164 0,000 40,95  1,49  327,61    9,89600000e+01 440,46   277,72 -0,21  0,17   1,00   0,00 1,00 0,00
   581060 7219  53,17579 -27,79217 2,9945   0,0054 2   50,99  16,28 -17,641 0,280 41,71  0,43    0,00    0,00000000e+00 290,49   164,72  0,22  0,14   1,00   0,00 1,00 0,00
   621089 2991  53,15091 -27,80178 3,0029   0,0053 2  220,26   0,00 -15,926 0,000 41,66  0,53    0,00    0,00000000e+00 165,97   115,17  0,12  0,13   1,00   0,00 1,00 0,00
